"publishedAt","dislikeCount","url","id","commentCount","title","viewCount","likeCount"
"2013-06-05T14:13:57.000Z","107","https://www.youtube.com/watch?v=kIixfCx8t54","kIixfCx8t54","221","Inside Amy Schumer - Makeover","1192518","5995"
"2013-05-29T14:14:56.000Z","545","https://www.youtube.com/watch?v=8_qcgcgwznM","8_qcgcgwznM","745","Inside Amy Schumer - Gang Bang - Uncensored","1745468","5686"
"2013-05-29T14:08:18.000Z","211","https://www.youtube.com/watch?v=CCy4jdSEtN4","CCy4jdSEtN4","342","Inside Amy Schumer - Bridal Shower","1385335","4598"
"2013-05-23T18:34:03.000Z","204","https://www.youtube.com/watch?v=LoRMHA4SVME","LoRMHA4SVME","278","Inside Amy Schumer - Cancer Excuse","1105042","4203"
"2013-05-30T15:24:43.000Z","401","https://www.youtube.com/watch?v=lb8nc9TTpB4","lb8nc9TTpB4","496","Inside Amy Schumer - POV Porn","1106244","4964"
"2013-05-15T18:24:48.000Z","190","https://www.youtube.com/watch?v=gCMEPtp3uls","gCMEPtp3uls","359","Inside Amy Schumer - The Perm","1033450","4846"
"2013-05-15T13:49:31.000Z","365","https://www.youtube.com/watch?v=hzlvDV3mpZw","hzlvDV3mpZw","815","Inside Amy Schumer - Compliments - Uncensored","2570794","11135"
"2013-05-08T14:35:04.000Z","122","https://www.youtube.com/watch?v=PQMMOvD1Bp8","PQMMOvD1Bp8","210","Inside Amy Schumer - Sext Photographer - Uncensored","1257959","4480"
"2013-04-15T21:35:37.000Z","355","https://www.youtube.com/watch?v=zYBA1GQf5WQ","zYBA1GQf5WQ","744","Inside Amy Schumer - Lunch at O'Nutters","1575257","6108"
"2013-04-16T21:53:11.000Z","1052","https://www.youtube.com/watch?v=jqYCsqUCNgo","jqYCsqUCNgo","1144","Inside Amy Schumer - Sexting","3985710","10634"
"2013-05-01T13:53:32.000Z","365","https://www.youtube.com/watch?v=QIcEbr2HmKQ","QIcEbr2HmKQ","473","Inside Amy Schumer - Urban Fitters","1331946","5668"
"2013-05-01T13:53:32.000Z","227","https://www.youtube.com/watch?v=GNJhwtx4AJc","GNJhwtx4AJc","395","Inside Amy Schumer - 2 Girls 1 Cup - Uncensored","1005706","3875"
"2013-04-15T21:35:37.000Z","193","https://www.youtube.com/watch?v=YU2L5AUKtyc","YU2L5AUKtyc","578","Inside Amy Schumer - One Night Stand","1938661","7249"
